3,1341
5,1303
10,1188
15,1115
20,1044
30,861
40,722
50,608
60,587
75,559
90,557
105,555
120,554
135,519
150,475
180,412
210,392
240,383
270,370
300,363
360,357
420,337
480,336
540,333
600,333
720,325
900,316
1200,304
1500,288
1800,283
2400,272
3000,266
3600,254
4500,253
5400,238
6300,227
7200,218
9000,213
10800,205
12600,201
14400,191
18000,180
21600,172
